gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q	prevalence
CYLD	cylindromatosis (turban tumor syndrome)	2949	0	10	0	16	16	6	7	45	34	44	1e-16	0.747	0.063	0.1707212	0.0538932	NA	7.771561e-16	1.31728e-12	0.03300970873786408
IGLL5	immunoglobulin lambda-like polypeptide 5	657	0	633	15	31	0	4	10	45	39	38	4.256628e-16	0.032	0.969	0.01998129	0.9517133	NA	1.221245e-15	1.89751e-12	0.037864077669902914
DUSP2	dual specificity phosphatase 2	960	0	23	25	44	7	7	3	61	52	44	1e-16	0.808	0.718	2.93066e-4	0.726102	NA	3.774758e-15	5.413874e-12	0.05048543689320388
PRDM1	PR domain containing 1, with ZNF domain	2520	0	5	2	14	3	0	12	29	24	26	1.115739e-10	0.00625	1e-6	0.1040849	7.559366e-7	NA	4.218847e-15	5.618601e-12	0.02330097087378641
TRAF3	TNF receptor-associated factor 3	1756	3	34	3	42	24	5	27	98	76	85	2.223136e-15	0.085	0.149	0.02210429	0.1428029	NA	1.676437e-14	2.083811e-11	0.07378640776699029
IRF4	interferon regulatory factor 4	1395	2	13	1	27	0	0	1	28	27	14	7.099448e-8	3e-6	2.7e-4	2.842171e-14	2.56825e-4	NA	2.220446e-12	2.587514e-9	0.02621359223300971
PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	1849	0	27	0	21	0	0	0	21	21	10	3.092643e-7	1e-6	0.001365	2.572165e-12	0.001218341	NA	9.217516e-12	9.699381e-9	0.020388349514563107
PRKD2	protein kinase D2	2721	1	18	2	37	2	1	1	41	40	34	2.829125e-9	8.333333e-5	0.1491278	0.001303019	0.1407894	NA	9.363843e-12	9.699381e-9	0.038834951456310676
ATM	ataxia telangiectasia mutated	9440	2	35	5	42	3	7	6	58	44	53	4.125906e-6	0.01376667	8.888889e-5	0.09569652	6.494283e-5	NA	8.334825e-9	8.179095e-6	0.04271844660194175
KLHL6	kelch-like 6 (Drosophila)	1893	0	46	4	33	2	0	0	35	28	28	7.008141e-7	3.2e-4	0.83016	0.1817199	0.8241391	NA	1.339778e-8	1.249008e-5	0.027184466019417475
SAMHD1	SAM domain and HD domain 1	1948	0	7	0	21	3	2	1	27	19	27	2.741817e-8	0.2	0.122	1	0.1062539	NA	4.428453e-8	3.931834e-5	0.018446601941747572
LTB	lymphotoxin beta (TNF superfamily, member 3)	751	0	56	11	20	1	8	0	29	29	27	9.510377e-9	0.316	0.257	0.4216545	0.2502525	NA	5.636493e-8	4.776928e-5	0.02815533980582524
IKZF3	IKAROS family zinc finger 3 (Aiolos)	1561	3	28	4	5	1	0	5	11	11	8	6.547574e-4	5.5e-5	0.074241	6.73672e-5	0.07411854	NA	1.175589e-7	9.529941e-5	0.010679611650485437
CCND1	cyclin D1	907	0	131	28	39	0	0	0	39	27	29	4.893718e-4	3e-6	0.894607	0.003473938	0.8916652	NA	2.440374e-7	1.895866e-4	0.02621359223300971
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	2361	10	24	2	11	0	0	0	11	11	5	0.05692718	1e-6	0.001537	1.356058e-8	0.001500054	NA	1.006558e-6	7.506907e-4	0.010679611650485437
BCL7A	B-cell CLL/lymphoma 7A	716	0	263	4	10	1	11	4	26	21	18	1.605716e-4	4.25e-4	0.4657	1.573477e-5	0.4590034	NA	2.923068e-6	0.002018541	0.020388349514563107
HIST1H1B	histone cluster 1, H1b	685	9	3	2	12	0	0	3	15	14	13	1.713005e-5	0.0075	0.439	0.1251721	0.4327552	NA	3.053109e-6	0.002033043	0.013592233009708738
HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	2531	7	5	2	11	3	0	1	15	15	15	1.564019e-4	8e-4	0.9714	1	0.9684384	NA	4.172897e-6	0.002682885	0.014563106796116505
TCL1A	T-cell leukemia/lymphoma 1A	368	0	48	4	14	0	4	1	19	14	11	8.543912e-4	8e-5	0.76236	0.002788995	0.7618162	NA	4.340597e-6	0.002697681	0.013592233009708738
RB1	retinoblastoma 1 (including osteosarcoma)	3724	5	26	0	5	8	2	4	19	19	19	1.169697e-6	0.383	0.346	1	0.350554	NA	5.182945e-6	0.002928364	0.018446601941747572
PIM1	pim-1 oncogene	964	0	4	5	21	0	1	0	22	16	18	1.274891e-4	0.0098	0.9997	4.968797e-9	0.999523	NA	2.976779e-5	0.01585773	0.015533980582524271
CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	613	3	6	1	6	3	0	3	12	11	11	6.263488e-5	0.031	0.523	0.07084629	0.513277	NA	3.481764e-5	0.01788926	0.010679611650485437
EGR1	early growth response 1	1639	0	10	21	34	0	0	4	38	33	31	0.0580417	1e-5	0.997952	0.001999427	0.9977443	NA	3.61887e-5	0.01788926	0.03203883495145631
FIP1L1	FIP1 like 1 (S. cerevisiae)	1885	2	18	2	9	1	1	4	15	15	15	9.609368e-6	1	0.168	1	0.1532312	NA	3.645974e-5	0.01788926	0.014563106796116505
SGPP1	sphingosine-1-phosphate phosphatase 1	1337	5	4	2	11	1	0	0	12	11	11	5.287768e-6	0.402	0.746	0.04037633	0.784864	NA	3.883545e-5	0.01820615	0.010679611650485437
SETD2	SET domain containing 2	7777	18	41	4	21	8	1	4	34	32	34	9.436186e-6	1	0.14	1	0.133664	NA	4.795395e-5	0.02128813	0.031067961165048542
TRAF2	TNF receptor-associated factor 2	1551	0	18	0	11	6	5	1	23	19	22	1.171763e-5	0.624	0.236	1	0.2394251	NA	7.219742e-5	0.0299138	0.018446601941747572
HIST1H1D	histone cluster 1, H1d	670	12	1	3	13	0	0	1	14	13	14	5.760194e-5	0.257	0.188	1	0.1864519	NA	8.97291e-5	0.03414284	0.01262135922330097
RASA2	RAS p21 protein activator 2	2644	5	31	0	9	1	4	4	18	16	18	3.230379e-5	0.185	0.656	1	0.6390518	NA	9.326737e-5	0.0347794	0.015533980582524271
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	977	0	6	1	7	9	2	7	25	20	25	2.362884e-5	1	0.145	1	0.1388177	NA	1.014533e-4	0.03709013	0.019417475728155338
SP3	Sp3 transcription factor	2370	0	16	1	7	3	0	1	11	11	10	0.0109399	0.0016	0.35435	0.02293479	0.3532555	NA	1.042909e-4	0.03726543	0.010679611650485437
ACTG1	actin, gamma 1	1153	0	7	9	32	2	0	2	36	31	30	0.006181481	7.5e-4	0.2117	2.040932e-5	0.2004903	NA	1.059301e-4	0.03726543	0.030097087378640777
EHD1	EH-domain containing 1	1624	15	11	2	16	0	0	1	17	15	16	2.597798e-4	0.03	0.663	0.06275301	0.638061	NA	1.414986e-4	0.04796803	0.014563106796116505
SF3B1	splicing factor 3b, subunit 1, 155kDa	4035	5	13	1	16	0	0	0	16	15	14	0.1181359	1.071429e-4	0.1925214	2.715304e-5	0.1850355	NA	2.115955e-4	0.06921401	0.014563106796116505
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	1147	1	6	1	9	0	2	0	11	11	10	0.001605444	0.021	0.177	0.04866296	0.1724262	NA	2.801675e-4	0.08853769	0.010679611650485437
RFTN1	raftlin, lipid raft linker 1	1779	0	81	6	10	2	5	1	18	16	15	0.001174485	0.0164	0.5241	0.05638589	0.5199074	NA	3.161074e-4	0.09662004	0.015533980582524271
ZNF292	zinc finger protein 292	8202	1	14	3	19	4	1	9	33	24	33	5.987696e-5	1	0.251	1	0.2246959	NA	3.223951e-4	0.09695254	0.02330097087378641
